artist;listeners;playcount;genres;genres2;genres3;similar_artists_1;similar_artists_2;similar_artists_3
Duncan Laurence;573905;8395361;pop;Eurovision;soul;Cornelia Jakobs;Rosa Linn;Gjon's Tears
KEiiNO;65097;2086061;pop;norwegian;Eurovision;;;
MARUV;85477;1950547;pop;electronic;Ukraine;LOBODA;SHLAKOBLOCHINA;
Tamta;49634;912837;Greek;pop;Greek Pop;Eleni Foureira;Marina Satti;Andromache
Kate Miller-Heidke;137146;2222744;australian;singer-songwriter;female vocalists;Lisa Mitchell;Meg Washington;Missy Higgins
Barbara Pravi;160792;2585665;chanson;pop;french;La Zarra;Pomme;Zaho de Sagazan
M책neskin;1485984;79060211;rock;glam rock;italian;Palaye Royale ;Mahmood ;The Pretty Reckless
Efendi;60761;977658;pop;azerbaijan;Eurovision;;;
Tusse;53049;537667;swedish;soul;melodifestivalen 2021;Natalia Gordienko;Dotter;Robin Bengtsson
THE ROOP;72101;1205161;pop;pop rock;Eurovision;Gjon's Tears;Natalia Gordienko;Efendi
Mahmood;213200;8605843;pop;;rnb;Elodie;Angelina Mango;Annalisa
LUM!X;202276;2587821;dance;austrian;Eurovision;R3hab;B3nte;Kyanu
S10;84891;3550298;pop;dutch;seen live;Froukje;Merol ;Cornelia Jakobs
MARO;182319;2749770;pop;portuguese;Eurovision;Claudia Pascoal;Salvador Sobral ;Iolanda
Subwoolfer;66701;898065;pop;Eurovision Song Contes;norwegian;KEiiNO;THE ROOP;Efendi
Loreen;679297;16748498;pop;swedish;female vocalists;Dotter;Cornelia Jakobs;Anna Bergendahl
Alessandra;166123;2950142;pop;norwegian;female vocalists;Andrew Lambrou;KEiiNO;Remo Forrer
K채채rij채;223745;8448660;finnish;rap;Eurovision;KUUMAA;Bess;Portion Boys
Marco Mengoni;119871;3966638;pop;italian;X factor;Annalisa;Elodie ;Francesca Michielin
BLANKA;90064;965558;psytrance;swedish;psychedelic;Margaret;Doda;Viki Gabor
Joost;288406;17588730;dutch;Hip-Hop;seen live;Vieze Asbak;De Jeugd van Tegenwoordig;The Opposites
Nemo;183763;2753574;Progressive rock;seen live;french;Slimane;Il Volo;Alvan
Slimane;95232;1373387;pop;french;Eurovision;Vitaa;Vianney ;Kendji Girac
Angelina Mango;100161;2894054;pop;urban;italian;Annalisa;Clara;Rose Villain
Baby Lasagna;102887;1923513;rock;croatian;pop punk;Megara;Let 3;Severina
